Régimen y estado;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viviendas: Total;Total Nacional;01 Andalucía;;2012M11;5.183
Viviendas: Total;Total Nacional;01 Andalucía;;2012M10;5.264
Viviendas: Total;Total Nacional;01 Andalucía;;2012M09;5.065
Viviendas: Total;Total Nacional;01 Andalucía;;2012M08;5.462
Viviendas: Total;Total Nacional;01 Andalucía;;2012M07;5.475
Viviendas: Total;Total Nacional;01 Andalucía;;2012M06;5.046
Viviendas: Total;Total Nacional;01 Andalucía;;2012M05;6.056
Viviendas: Total;Total Nacional;01 Andalucía;;2012M04;4.171
Viviendas: Total;Total Nacional;01 Andalucía;;2012M03;5.023
Viviendas: Total;Total Nacional;01 Andalucía;;2012M02;5.658
Viviendas: Total;Total Nacional;01 Andalucía;;2012M01;6.057
Viviendas: Total;Total Nacional;01 Andalucía;;2011M12;4.826
Viviendas: Total;Total Nacional;01 Andalucía;;2011M11;6.121
Viviendas: Total;Total Nacional;01 Andalucía;;2011M10;4.468
Viviendas: Total;Total Nacional;01 Andalucía;;2011M09;4.920
Viviendas: Total;Total Nacional;01 Andalucía;;2011M08;5.249
Viviendas: Total;Total Nacional;01 Andalucía;;2011M07;6.328
Viviendas: Total;Total Nacional;01 Andalucía;;2011M06;6.137
Viviendas: Total;Total Nacional;01 Andalucía;;2011M05;6.095
Viviendas: Total;Total Nacional;01 Andalucía;;2011M04;4.788
Viviendas: Total;Total Nacional;01 Andalucía;;2011M03;6.753
Viviendas: Total;Total Nacional;01 Andalucía;;2011M02;7.845
Viviendas: Total;Total Nacional;01 Andalucía;;2011M01;9.223
Viviendas: Total;Total Nacional;01 Andalucía;;2010M12;5.794
Viviendas: Total;Total Nacional;01 Andalucía;;2010M11;6.462
Viviendas: Total;Total Nacional;01 Andalucía;;2010M10;5.416
Viviendas: Total;Total Nacional;01 Andalucía;;2010M09;7.094
Viviendas: Total;Total Nacional;01 Andalucía;;2010M08;8.191
Viviendas: Total;Total Nacional;01 Andalucía;;2010M07;7.516
Viviendas: Total;Total Nacional;01 Andalucía;;2010M06;7.142
Viviendas: Total;Total Nacional;01 Andalucía;;2010M05;7.071
Viviendas: Total;Total Nacional;01 Andalucía;;2010M04;6.529
Viviendas: Total;Total Nacional;01 Andalucía;;2010M03;7.100
Viviendas: Total;Total Nacional;01 Andalucía;;2010M02;7.418
Viviendas: Total;Total Nacional;01 Andalucía;;2010M01;7.462
Viviendas: Total;Total Nacional;01 Andalucía;;2009M12;6.592
Viviendas: Total;Total Nacional;01 Andalucía;;2009M11;6.857
Viviendas: Total;Total Nacional;01 Andalucía;;2009M10;6.375
Viviendas: Total;Total Nacional;01 Andalucía;;2009M09;7.466
Viviendas: Total;Total Nacional;01 Andalucía;;2009M08;7.035
Viviendas: Total;Total Nacional;01 Andalucía;;2009M07;7.923
Viviendas: Total;Total Nacional;01 Andalucía;;2009M06;7.697
Viviendas: Total;Total Nacional;01 Andalucía;;2009M05;7.108
Viviendas: Total;Total Nacional;01 Andalucía;;2009M04;6.323
Viviendas: Total;Total Nacional;01 Andalucía;;2009M03;7.735
Viviendas: Total;Total Nacional;01 Andalucía;;2009M02;7.053
Viviendas: Total;Total Nacional;01 Andalucía;;2009M01;8.476
Viviendas: Total;Total Nacional;01 Andalucía;;2008M12;7.035
Viviendas: Total;Total Nacional;01 Andalucía;;2008M11;7.618
Viviendas: Total;Total Nacional;01 Andalucía;;2008M10;9.205
Viviendas: Total;Total Nacional;01 Andalucía;;2008M09;9.407
Viviendas: Total;Total Nacional;01 Andalucía;;2008M08;8.062
Viviendas: Total;Total Nacional;01 Andalucía;;2008M07;9.595
