Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M08;41.900.828
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M07;37.670.863
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M06;30.808.604
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M05;26.359.256
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M04;19.135.958
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M03;18.815.829
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M02;13.104.722
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2013M01;11.887.105
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M12;12.398.564
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M11;13.854.509
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M10;23.909.187
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M09;32.045.387
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M08;40.581.091
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M07;37.395.658
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M06;30.243.838
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M05;24.628.932
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M04;21.445.224
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M03;17.393.498
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M02;14.163.457
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2012M01;12.600.203
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M12;13.044.798
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M11;14.674.921
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M10;24.764.256
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M09;32.099.863
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M08;41.694.917
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M07;37.980.214
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M06;30.704.218
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M05;24.670.723
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M04;22.618.769
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M03;18.086.818
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M02;14.238.644
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2011M01;12.183.118
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M12;12.778.595
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M11;14.363.392
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M10;23.976.893
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M09;29.696.355
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M08;39.085.826
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M07;34.909.440
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M06;27.357.010
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M05;23.982.979
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M04;19.843.019
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M03;16.752.851
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M02;13.108.750
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2010M01;11.308.373
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M12;12.030.368
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M11;13.255.271
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M10;21.752.259
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M09;27.387.006
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M08;36.192.581
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M07;32.764.251
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M06;26.082.353
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M05;22.661.503
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M04;19.591.068
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M03;15.536.341
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M02;12.527.991
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2009M01;11.203.819
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M12;11.946.130
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M11;13.685.099
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M10;22.253.202
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M09;29.305.643
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M08;37.945.216
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M07;34.559.658
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M06;27.737.509
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M05;25.060.656
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M04;19.300.764
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M03;19.216.126
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M02;14.831.691
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2008M01;12.710.146
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M12;13.356.493
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M11;15.289.839
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M10;23.476.804
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M09;30.142.242
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M08;38.132.493
Encuesta de Ocupación Hotelera;Total Nacional;;Total;;Pernoctaciones;2007M07;34.315.590
